Character 1,Character 2,Character 3,Character 4
Raiden,Sara,Collei,Jean
Raiden,Sara,Nahida,Bennett
Raiden,Sara,Nahida,Kokomi
Raiden,Sara,Nahida,Jean
Raiden,Sara,TravelerDendro,Bennett
Raiden,Sara,TravelerDendro,Kokomi
Raiden,Sara,TravelerDendro,Jean
Raiden,Collei,Nahida,Bennett
Raiden,Collei,Nahida,Kokomi
Raiden,Collei,Nahida,Jean
Kokomi,Nahida,Fischl,Kazuha
Kokomi,Nahida,Fischl,Sucrose
Kokomi,Nahida,Kazuha,Yelan
Kokomi,Nahida,Kazuha,Collei
Kokomi,Nahida,Sucrose,Yelan
Kokomi,Nahida,Sucrose,Collei
Kokomi,Collei,Kazuha,Sucrose
Kokomi,Collei,Kazuha,Xiangling
Kokomi,Collei,Kazuha,Mona
Kokomi,Collei,Kazuha,Xingqiu
Kokomi,Collei,Kazuha,Yelan
Kokomi,Collei,Kazuha,Nahida
Kokomi,Collei,Kazuha,TravelerDendro
Kokomi,Collei,Sucrose,Xiangling
Kokomi,Collei,Sucrose,Mona
Kokomi,Collei,Sucrose,Xingqiu
Kokomi,Collei,Sucrose,Yelan
Kokomi,Collei,Sucrose,Nahida
Kokomi,Collei,Sucrose,TravelerDendro
Tighnari,Fischl,Kazuha,Bennett
Tighnari,Fischl,Kazuha,Kokomi
Tighnari,Fischl,Kazuha,Shinobu
Tighnari,Fischl,Kazuha,Dori
Tighnari,Fischl,Venti,Bennett
Tighnari,Fischl,Venti,Kokomi
Tighnari,Fischl,Venti,Shinobu
Tighnari,Fischl,Venti,Dori
Tighnari,Yae,Venti,Bennett
Tighnari,Yae,Venti,Jean
Tighnari,Yae,Venti,Kokomi
Tighnari,Yae,Venti,Shinobu
Tighnari,Yae,Venti,Dori
Tighnari,Raiden,Venti,Bennett
Tighnari,Raiden,Venti,Jean
Tighnari,Raiden,Venti,Kokomi
Tighnari,Raiden,Venti,Shinobu
Tighnari,Raiden,Venti,Dori
Tartaglia,Bennett,Fischl,Kazuha
Tartaglia,Bennett,Fischl,Venti
Tartaglia,Bennett,Raiden,Kazuha
Tartaglia,Bennett,Raiden,Venti
Tartaglia,Bennett,Xiangling,Kazuha
Tartaglia,Bennett,Xiangling,Venti
Tartaglia,Bennett,Xiangling,Sucrose
Tartaglia,Bennett,Xiangling,Nahida
Tartaglia,Kazuha,Xingqiu,Bennett
Tartaglia,Kazuha,Xingqiu,Jean
Tartaglia,Kazuha,Yelan,Bennett
Tartaglia,Kazuha,Yelan,Jean
Tartaglia,Kazuha,Fischl,Bennett
Tartaglia,Sucrose,Xingqiu,Bennett
Tartaglia,Sucrose,Xingqiu,Jean
Tartaglia,Sucrose,Yelan,Bennett
Tartaglia,Sucrose,Yelan,Jean
Tartaglia,Sucrose,Fischl,Bennett
Tartaglia,Sucrose,Fischl,Jean
Tartaglia,Venti,Xingqiu,Bennett
Tartaglia,Venti,Xingqiu,Jean
Tartaglia,Venti,Yelan,Bennett
Tartaglia,Venti,Yelan,Jean
Tartaglia,Venti,Fischl,Bennett
Tartaglia,Venti,Fischl,Jean
Tartaglia,Rosaria,Shenhe,Venti
Tartaglia,Rosaria,Shenhe,Kazuha
Xiao,Sucrose,Fischl,Bennett
Xiao,Sucrose,Yelan,Bennett
Xiao,Sucrose,Fischl,Jean
Xiao,Sucrose,Yelan,Jean
Yanfei,Yelan,Sucrose,Bennett
Yanfei,Yelan,Sucrose,Zhongli
Yanfei,Yelan,Venti,Bennett
Bennett,Xiangling,Yelan,Kazuha
Bennett,Xiangling,Yelan,Sucrose
Bennett,Yelan,Chongyun,Kazuha
Bennett,Yelan,Chongyun,Sucrose
Bennett,Xingqiu,Yelan,Kazuha
Bennett,Xingqiu,Yelan,Sucrose
Bennett,Xingqiu,Fischl,Sucrose
Bennett,Xingqiu,Fischl,Sucrose
Bennett,Beidou,Fischl,Sucrose
Bennett,Beidou,Fischl,Kazuha
Bennett,Yae,Fischl,Sucrose
Bennett,Yae,Fischl,Kazuha
Bennett,Beidou,Sara,Sucrose
Bennett,Beidou,Sara,Kazuha
Bennett,Yae,Sara,Sucrose
Bennett,Yae,Sara,Kazuha
Sucrose,Xingqiu,Fischl,Beidou
Kazuha,Xingqiu,Fischl,Beidou
Bennett,Collei,Kazuha,Beidou
Bennett,Collei,Sucrose,Beidou
Bennett,Collei,Kazuha,Fischl
Bennett,TravelerDendro,Kazuha,Fischl
Bennett,Nahida,Kazuha,Fischl
Bennett,Collei,Sucrose,Fischl
Bennett,TravelerDendro,Sucrose,Fischl
Bennett,Nahida,Sucrose,Fischl
Bennett,Collei,Kazuha,Yae
Bennett,Collei,Sucrose,Yae
Bennett,Yelan,Kazuha,Jean
Bennett,Yelan,Sucrose,Jean
Chongyun,Ganyu,Venti,Kokomi
Chongyun,Ganyu,Venti,Barbara
Chongyun,Ganyu,Kazuha,Kokomi
Chongyun,Ganyu,Kazuha,Barbara
Chongyun,Rosaria,Venti,Kokomi
Chongyun,Rosaria,Venti,Barbara
Chongyun,Shenhe,Venti,Kokomi
Chongyun,Shenhe,Venti,Barbara
Fischl,Kazuha,Collei,Shinobu
Fischl,Kazuha,Collei,Dori
Fischl,Kazuha,TravelerDendro,Shinobu
Fischl,Kazuha,TravelerDendro,Dori
Fischl,Kazuha,Nahida,Shinobu
Fischl,Kazuha,Nahida,Dori
Fischl,Sucrose,Collei,Shinobu
Fischl,Sucrose,Collei,Dori
Fischl,Sucrose,TravelerDendro,Shinobu
Fischl,Sucrose,TravelerDendro,Dori
Fischl,Sucrose,Nahida,Shinobu
Fischl,Sucrose,Nahida,Dori
Yae,Kazuha,Collei,Shinobu
Yae,Kazuha,Collei,Dori
Yae,Sucrose,Collei,Shinobu
Yae,Sucrose,Collei,Dori
Beidou,Kazuha,Collei,Shinobu
Beidou,Kazuha,Collei,Dori
Bennett,Ganyu,Venti,Xiangling
Bennett,Ganyu,Kazuha,Xiangling
Diona,Ganyu,Hu Tao,Kazuha
Hu Tao,Kazuha,Xingqiu,Yelan
Hu Tao,Sucrose,Xingqiu,Yelan
Ayaka,Diona,Kazuha,Kokomi
Bennett,Venti,Xiangling,Xingqiu
Itto,Gorou,Albedo,Shinobu
Itto,Gorou,Albedo,Xinyan
Itto,Gorou,Albedo,Diona
Itto,Gorou,Albedo,Barbara
Itto,Gorou,Albedo,Qiqi
Itto,Gorou,Albedo,Dori
Itto,Gorou,Albedo,Kokomi
Itto,Gorou,Albedo,Zhongli
Itto,Gorou,Bennett,Zhongli
