Character 1,Character 2,Character 3,Character 4,Character 1,Character 2,Character 3,Character 4
Ganyu,Mona,Sayu,Ayaka,Hu Tao,Xingqiu,Zhongli,Jean
Ganyu,Mona,Sayu,Aloy,Hu Tao,Xingqiu,Zhongli,Sayu
Ganyu,Mona,Jean,Shenhe,Hu Tao,Xingqiu,Zhongli,Kokomi
Ganyu,Mona,Jean,Rosaria,Hu Tao,Xingqiu,Zhongli,Dori
Ganyu,Mona,Jean,Ayaka,Hu Tao,Xingqiu,Zhongli,Shinobu
Ganyu,Mona,Jean,Aloy,Hu Tao,Xingqiu,Zhongli,Beidou
Ganyu,Xiangling,Nahida,Bennett,Hu Tao,Xingqiu,Zhongli,Thoma
Ganyu,Xiangling,TravelerDendro,Bennett,Hu Tao,Xingqiu,Zhongli,Xiangling
Ganyu,Xiangling,Collei,Bennett,Hu Tao,Xingqiu,Yelan,Diona
Hu Tao,Xingqiu,Sucrose,Diona,Hu Tao,Xingqiu,Yelan,Qiqi
Hu Tao,Xingqiu,Kazuha,Diona,Hu Tao,Xingqiu,Yelan,Zhongli
Hu Tao,Xingqiu,Venti,Bennett,Hu Tao,Xingqiu,Yelan,Jean
Hu Tao,Xingqiu,Venti,Diona,Hu Tao,Xingqiu,Yelan,Sayu
Hu Tao,Xingqiu,Venti,Barbara,Hu Tao,Xingqiu,Yelan,Beidou
Hu Tao,Xingqiu,Venti,Qiqi,Hu Tao,Xingqiu,Yelan,Shinobu
Hu Tao,Xingqiu,Venti,Zhongli,Hu Tao,Xingqiu,Yelan,Dori
Hu Tao,Xingqiu,Venti,Kokomi,Hu Tao,Xingqiu,Yelan,Thoma
Hu Tao,Xingqiu,Venti,Dori,Hu Tao,Xingqiu,Yelan,Xiangling
Hu Tao,Xingqiu,Venti,Shinobu,Hu Tao,Xingqiu,Rosaria,Bennett
Hu Tao,Xingqiu,Venti,Beidou,Hu Tao,Xingqiu,Rosaria,Diona
Hu Tao,Xingqiu,Venti,Thoma,Hu Tao,Xingqiu,Rosaria,Qiqi
Hu Tao,Xingqiu,Venti,Xiangling,Hu Tao,Xingqiu,Rosaria,Zhongli
Hu Tao,Xingqiu,Albedo,Diona,Hu Tao,Xingqiu,Rosaria,Jean
Hu Tao,Xingqiu,Zhongli,Diona,Hu Tao,Xingqiu,Rosaria,Sayu
Hu Tao,Xingqiu,Fischl,Diona,Hu Tao,Xingqiu,Rosaria,Beidou
Hu Tao,Xingqiu,Fischl,Barbara,Hu Tao,Xingqiu,Rosaria,Shinobu
Hu Tao,Xingqiu,Fischl,Qiqi,Hu Tao,Xingqiu,Rosaria,Dori
Hu Tao,Xingqiu,Fischl,Zhongli,Hu Tao,Xingqiu,Rosaria,Thoma
Hu Tao,Xingqiu,Fischl,Jean,Hu Tao,Xingqiu,Rosaria,Xiangling
Hu Tao,Xingqiu,Fischl,Sayu,Hu Tao,Yelan,Sucrose,Bennett
Hu Tao,Xingqiu,Fischl,Kokomi,Hu Tao,Yelan,Sucrose,Diona
Hu Tao,Xingqiu,Fischl,Thoma,Hu Tao,Yelan,Sucrose,Barbara
Hu Tao,Xingqiu,Fischl,Xiangling,Hu Tao,Yelan,Sucrose,Qiqi
Hu Tao,Xingqiu,Yae,Diona,Hu Tao,Yelan,Sucrose,Zhongli
Hu Tao,Xingqiu,Beidou,Diona,Hu Tao,Yelan,Sucrose,Kokomi
Hu Tao,Xingqiu,Raiden,Diona,Hu Tao,Yelan,Sucrose,Dori
Hu Tao,Xingqiu,Raiden,Fischl,Hu Tao,Yelan,Sucrose,Shinobu
Hu Tao,Xingqiu,Yelan,Diona,Hu Tao,Yelan,Sucrose,Beidou
Hu Tao,Xingqiu,Yelan,Qiqi,Hu Tao,Yelan,Sucrose,Thoma
Hu Tao,Xingqiu,Yelan,Zhongli,Hu Tao,Yelan,Sucrose,Xiangling
Hu Tao,Xingqiu,Yelan,Jean,Hu Tao,Yelan,Kazuha,Bennett
Hu Tao,Xingqiu,Yelan,Sayu,Hu Tao,Yelan,Kazuha,Diona
Hu Tao,Xingqiu,Yelan,Beidou,Hu Tao,Yelan,Kazuha,Barbara
Hu Tao,Xingqiu,Yelan,Shinobu,Hu Tao,Yelan,Kazuha,Qiqi
Hu Tao,Xingqiu,Yelan,Dori,Hu Tao,Yelan,Kazuha,Zhongli
Hu Tao,Xingqiu,Yelan,Thoma,Hu Tao,Yelan,Kazuha,Kokomi
Hu Tao,Xingqiu,Yelan,Xiangling,Hu Tao,Yelan,Kazuha,Dori
Hu Tao,Xingqiu,Yelan,Fischl,Hu Tao,Yelan,Kazuha,Shinobu
Hu Tao,Xingqiu,Yelan,Yae,Hu Tao,Yelan,Kazuha,Beidou
Hu Tao,Xingqiu,Rosaria,Diona,Hu Tao,Yelan,Kazuha,Thoma
Hu Tao,Yelan,Sucrose,Bennett,Hu Tao,Yelan,Kazuha,Xiangling
Hu Tao,Yelan,Sucrose,Diona,Hu Tao,Yelan,Albedo,Bennett
Hu Tao,Yelan,Sucrose,Barbara,Hu Tao,Yelan,Albedo,Diona
Hu Tao,Yelan,Sucrose,Qiqi,Hu Tao,Yelan,Albedo,Barbara
Hu Tao,Yelan,Sucrose,Zhongli,Hu Tao,Yelan,Albedo,Qiqi
Hu Tao,Yelan,Sucrose,Kokomi,Hu Tao,Yelan,Albedo,Zhongli
Hu Tao,Yelan,Sucrose,Dori,Hu Tao,Yelan,Albedo,Jean
Hu Tao,Yelan,Sucrose,Shinobu,Hu Tao,Yelan,Albedo,Sayu
Hu Tao,Yelan,Sucrose,Beidou,Hu Tao,Yelan,Albedo,Kokomi
Hu Tao,Yelan,Sucrose,Thoma,Hu Tao,Yelan,Albedo,Dori
Hu Tao,Yelan,Sucrose,Xiangling,Hu Tao,Yelan,Albedo,Shinobu
Hu Tao,Yelan,Kazuha,Bennett,Hu Tao,Yelan,Albedo,Beidou
Hu Tao,Yelan,Kazuha,Diona,Hu Tao,Yelan,Albedo,Thoma
Hu Tao,Yelan,Kazuha,Barbara,Hu Tao,Yelan,Albedo,Xiangling
Hu Tao,Yelan,Kazuha,Qiqi,Hu Tao,Yelan,Zhongli,Bennett
Hu Tao,Yelan,Kazuha,Zhongli,Hu Tao,Yelan,Zhongli,Diona
Hu Tao,Yelan,Kazuha,Kokomi,Hu Tao,Yelan,Zhongli,Barbara
Hu Tao,Yelan,Kazuha,Dori,Hu Tao,Yelan,Zhongli,Qiqi
Hu Tao,Yelan,Kazuha,Shinobu,Hu Tao,Yelan,Zhongli,Jean
Hu Tao,Yelan,Kazuha,Beidou,Hu Tao,Yelan,Zhongli,Sayu
Hu Tao,Yelan,Kazuha,Thoma,Hu Tao,Yelan,Zhongli,Kokomi
Hu Tao,Yelan,Kazuha,Xiangling,Hu Tao,Yelan,Zhongli,Dori
Hu Tao,Yelan,Venti,Bennett,Hu Tao,Yelan,Zhongli,Shinobu
Hu Tao,Yelan,Venti,Diona,Hu Tao,Yelan,Zhongli,Beidou
Hu Tao,Yelan,Venti,Barbara,Hu Tao,Yelan,Zhongli,Thoma
Hu Tao,Yelan,Venti,Qiqi,Hu Tao,Yelan,Zhongli,Xiangling
Hu Tao,Yelan,Venti,Zhongli,Ayato,Bennett,Xiangling,Kazuha
Hu Tao,Yelan,Venti,Kokomi,Ayato,Bennett,Xiangling,Sucrose
Hu Tao,Yelan,Venti,Dori,Ayato,Bennett,Xiangling,Albedo
Hu Tao,Yelan,Venti,Shinobu,Ayato,Bennett,Xiangling,Zhongli
Hu Tao,Yelan,Venti,Beidou,Ayato,Bennett,Xiangling,Xingqiu
Hu Tao,Yelan,Venti,Thoma,Ayato,Yun Jin,Kazuha,Bennett
Hu Tao,Yelan,Venti,Xiangling,Ayato,Yun Jin,Kazuha,Zhongli
Hu Tao,Yelan,Albedo,Bennett,Ayato,Yun Jin,Sucrose,Bennett
Hu Tao,Yelan,Albedo,Diona,Ayato,Yun Jin,Sucrose,Zhongli
Hu Tao,Yelan,Albedo,Barbara,Ayato,Yun Jin,Xingqiu,Bennett
Hu Tao,Yelan,Albedo,Qiqi,Ayato,Yun Jin,Xingqiu,Zhongli
Hu Tao,Yelan,Albedo,Zhongli,Ayato,Yun Jin,Yelan,Bennett
Hu Tao,Yelan,Albedo,Jean,Ayato,Yun Jin,Yelan,Zhongli
Hu Tao,Yelan,Albedo,Sayu,Ayato,Kazuha,Xingqiu,Bennett
Hu Tao,Yelan,Albedo,Kokomi,Ayato,Kazuha,Xingqiu,Zhongli
Hu Tao,Yelan,Albedo,Dori,Ayato,Xingqiu,Yelan,Bennett
Hu Tao,Yelan,Albedo,Shinobu,Ayato,Xingqiu,Yelan,Zhongli
Hu Tao,Yelan,Albedo,Beidou,Ayato,Collei,Nahida,Kokomi
Hu Tao,Yelan,Albedo,Thoma,Ayato,Collei,TravelerDendro,Kokomi
Hu Tao,Yelan,Albedo,Xiangling,Ayato,Nahida,TravelerDendro,Kokomi
Hu Tao,Yelan,Zhongli,Bennett,Ayato,Xingqiu,Collei,Kokomi
Hu Tao,Yelan,Zhongli,Diona,Ayato,Xingqiu,Collei,Bennett
Hu Tao,Yelan,Zhongli,Barbara,Ayato,Xingqiu,Nahida,Kokomi
Hu Tao,Yelan,Zhongli,Qiqi,Ayato,Xingqiu,Nahida,Bennett
Hu Tao,Yelan,Zhongli,Jean,Ayato,Xingqiu,TravelerDendro,Kokomi
Hu Tao,Yelan,Zhongli,Sayu,Ayato,Xingqiu,TravelerDendro,Bennett
Hu Tao,Yelan,Zhongli,Kokomi,Ayato,Yelan,Collei,Kokomi
Hu Tao,Yelan,Zhongli,Dori,Ayato,Yelan,Collei,Bennett
Hu Tao,Yelan,Zhongli,Shinobu,Ayato,Yelan,Nahida,Kokomi
Hu Tao,Yelan,Zhongli,Beidou,Ayato,Yelan,Nahida,Bennett
Hu Tao,Yelan,Zhongli,Thoma,Ayato,Yelan,TravelerDendro,Kokomi
Hu Tao,Yelan,Zhongli,Xiangling,Ayato,Yelan,TravelerDendro,Bennett
Hu Tao,Yelan,Fischl,Bennett,Klee,Kazuha,Xiangling,Bennett
Hu Tao,Yelan,Fischl,Diona,Klee,Kazuha,Sucrose,Bennett
Hu Tao,Yelan,Fischl,Barbara,Klee,Kazuha,Zhongli,Bennett
Hu Tao,Yelan,Fischl,Qiqi,Klee,Kazuha,Jean,Bennett
Hu Tao,Yelan,Fischl,Zhongli,Klee,Kazuha,Thoma,Bennett
Hu Tao,Yelan,Fischl,Jean,Klee,Xiangling,Sucrose,Bennett
Hu Tao,Yelan,Fischl,Sayu,Klee,Xiangling,Zhongli,Bennett
Hu Tao,Yelan,Fischl,Kokomi,Klee,Xiangling,Jean,Bennett
Hu Tao,Yelan,Fischl,Thoma,Klee,Xiangling,Thoma,Bennett
Hu Tao,Yelan,Fischl,Xiangling,Klee,Xingqiu,Yelan,Bennett
Hu Tao,Yelan,Yae,Bennett,Klee,Xingqiu,Yelan,Zhongli
Hu Tao,Yelan,Yae,Diona,Klee,Xingqiu,Bennett,Kazuha
Hu Tao,Yelan,Yae,Barbara,Klee,Xingqiu,Bennett,Venti
Hu Tao,Yelan,Yae,Qiqi,Klee,Xingqiu,Bennett,Sucrose
Hu Tao,Yelan,Yae,Zhongli,Klee,Xingqiu,Bennett,Zhongli
Hu Tao,Yelan,Yae,Jean,Ningguang,Albedo,Gorou,Zhongli
Hu Tao,Yelan,Yae,Sayu,Ningguang,Albedo,Gorou,Bennett
Hu Tao,Yelan,Yae,Kokomi,Ningguang,Albedo,Yun Jin,Zhongli
Hu Tao,Yelan,Yae,Thoma,Ningguang,Albedo,Yun Jin,Bennett
Hu Tao,Yelan,Yae,Xiangling,Ningguang,Albedo,Xiangling,Zhongli
Hu Tao,Yelan,Beidou,Bennett,Ningguang,Albedo,Xiangling,Bennett
Hu Tao,Yelan,Beidou,Diona,Ningguang,Gorou,Xiangling,Zhongli
Hu Tao,Yelan,Beidou,Barbara,Ningguang,Gorou,Xiangling,Bennett
Hu Tao,Yelan,Beidou,Qiqi,Ningguang,Yun Jin,Xiangling,Zhongli
Hu Tao,Yelan,Beidou,Zhongli,Ningguang,Yun Jin,Xiangling,Bennett
Hu Tao,Yelan,Beidou,Jean,Nilou,Collei,Nahida,Barbara
Hu Tao,Yelan,Beidou,Sayu,Nilou,Collei,Nahida,Kokomi
Hu Tao,Yelan,Beidou,Kokomi,Nilou,Collei,TravelerDendro,Barbara
Hu Tao,Yelan,Beidou,Thoma,Nilou,Collei,TravelerDendro,Kokomi
Hu Tao,Yelan,Beidou,Fischl,Nilou,Nahida,TravelerDendro,Barbara
Hu Tao,Yelan,Beidou,Xiangling,Nilou,Nahida,TravelerDendro,Kokomi
Hu Tao,Yelan,Raiden,Bennett,Nilou,Ayato,Nahida,Barbara
Hu Tao,Yelan,Raiden,Diona,Nilou,Ayato,Nahida,Kokomi
Hu Tao,Yelan,Raiden,Barbara,Nilou,Ayato,TravelerDendro,Barbara
Hu Tao,Yelan,Raiden,Qiqi,Nilou,Ayato,TravelerDendro,Kokomi
Hu Tao,Yelan,Raiden,Zhongli,Nilou,Xingqiu,Collei,Barbara
Hu Tao,Yelan,Raiden,Jean,Nilou,Xingqiu,Collei,Kokomi
Hu Tao,Yelan,Raiden,Sayu,Nilou,Xingqiu,Nahida,Barbara
Hu Tao,Yelan,Raiden,Kokomi,Nilou,Xingqiu,Nahida,Kokomi
Hu Tao,Yelan,Raiden,Thoma,Nilou,Xingqiu,TravelerDendro,Barbara
Hu Tao,Yelan,Raiden,Fischl,Nilou,Xingqiu,TravelerDendro,Kokomi
Hu Tao,Yelan,Raiden,Xiangling,Nilou,Yelan,Collei,Barbara
Ayaka,Shenhe,Kokomi,Venti,Nilou,Yelan,Collei,Kokomi
Ayaka,Shenhe,Mona,Venti,Nilou,Yelan,Nahida,Barbara
Ayaka,Shenhe,Ayato,Venti,Nilou,Yelan,Nahida,Kokomi
Ayaka,Shenhe,Xingqiu,Venti,Nilou,Yelan,TravelerDendro,Barbara
Ayaka,Shenhe,Yelan,Kazuha,Nilou,Yelan,TravelerDendro,Kokomi
Ayaka,Shenhe,Yelan,Venti,Nilou,Yelan,Albedo,Zhongli
Ayaka,Shenhe,Yelan,Jean,Kokomi,Nahida,Kazuha,Yelan
Ayaka,Shenhe,Yelan,Sucrose,Kokomi,Nahida,Kazuha,Collei
Ayaka,Shenhe,Yelan,Heizou,Kokomi,Nahida,Sucrose,Yelan
Ayaka,Shenhe,Barbara,Venti,Kokomi,Nahida,Sucrose,Collei
Ayaka,Ganyu,Xingqiu,Kazuha,Kokomi,Nahida,Xiangling,Yelan
Ayaka,Ganyu,Xingqiu,Venti,Kokomi,Nahida,Xiangling,Collei
Ayaka,Ganyu,Xingqiu,Jean,Kokomi,Nahida,Mona,Yelan
Ayaka,Ganyu,Xingqiu,Sucrose,Kokomi,Nahida,Mona,Collei
Ayaka,Ganyu,Xingqiu,Heizou,Kokomi,Nahida,Xingqiu,Collei
Ayaka,Ganyu,Yelan,Kazuha,Kokomi,Nahida,Xingqiu,TravelerDendro
Ayaka,Ganyu,Yelan,Venti,Kokomi,Nahida,Yelan,Collei
Ayaka,Ganyu,Yelan,Jean,Kokomi,Nahida,Yelan,TravelerDendro
Ayaka,Ganyu,Yelan,Sucrose,Kokomi,Nahida,Collei,TravelerDendro
Ayaka,Ganyu,Yelan,Heizou,Kokomi,Collei,Kazuha,Sucrose
Ayaka,Ganyu,Barbara,Kazuha,Kokomi,Collei,Kazuha,Xiangling
Ayaka,Ganyu,Barbara,Venti,Kokomi,Collei,Kazuha,Mona
Ayaka,Ganyu,Barbara,Sucrose,Kokomi,Collei,Kazuha,Xingqiu
Ayaka,Ganyu,Barbara,Heizou,Kokomi,Collei,Kazuha,Yelan
Ayaka,Diona,Mona,Kazuha,Kokomi,Collei,Kazuha,Nahida
Ayaka,Diona,Mona,Venti,Kokomi,Collei,Kazuha,TravelerDendro
Ayaka,Diona,Mona,Sucrose,Kokomi,Collei,Sucrose,Xiangling
Ayaka,Diona,Mona,Heizou,Kokomi,Collei,Sucrose,Mona
Ayaka,Diona,Ayato,Kazuha,Kokomi,Collei,Sucrose,Xingqiu
Ayaka,Diona,Ayato,Venti,Kokomi,Collei,Sucrose,Yelan
Ayaka,Diona,Ayato,Sucrose,Kokomi,Collei,Sucrose,Nahida
Ayaka,Diona,Ayato,Heizou,Kokomi,Collei,Sucrose,TravelerDendro
Ayaka,Diona,Xingqiu,Kazuha,Kokomi,Collei,Xiangling,Mona
Ayaka,Diona,Xingqiu,Venti,Kokomi,Collei,Xiangling,Xingqiu
Ayaka,Diona,Xingqiu,Sucrose,Kokomi,Collei,Xiangling,Yelan
Ayaka,Diona,Xingqiu,Heizou,Kokomi,Collei,Xiangling,Nahida
Ayaka,Diona,Yelan,Kazuha,Kokomi,Collei,Xiangling,TravelerDendro
Ayaka,Diona,Yelan,Venti,Kokomi,Collei,Mona,Xingqiu
Ayaka,Diona,Yelan,Sucrose,Kokomi,Collei,Mona,Yelan
Ayaka,Diona,Yelan,Heizou,Kokomi,Collei,Mona,Nahida
Ayaka,Diona,Tartaglia,Kazuha,Kokomi,Collei,Mona,TravelerDendro
Ayaka,Diona,Tartaglia,Venti,Kokomi,Collei,Xingqiu,Yelan
Ayaka,Diona,Tartaglia,Sucrose,Kokomi,Collei,Xingqiu,Nahida
Ayaka,Diona,Tartaglia,Heizou,Kokomi,Collei,Xingqiu,TravelerDendro
Ayaka,Rosaria,Kokomi,Venti,Kokomi,Collei,Yelan,Nahida
Ayaka,Rosaria,Mona,Venti,Kokomi,Collei,Yelan,TravelerDendro
