Character 1,Character 2,Character 3,Character 4
Albedo,Fischl,Noelle,Raiden
Albedo,Fischl,Noelle,Rosaria
Albedo,Fischl,Noelle,TravelerGeo
Albedo,Fischl,Noelle,Xingqiu
Albedo,Fischl,Noelle,Yelan
Albedo,Fischl,Noelle,Yun Jin
Albedo,Fischl,Noelle,Zhongli
Albedo,Fischl,Raiden,Sayu
Albedo,Fischl,Raiden,Shinobu
Albedo,Fischl,Raiden,Zhongli
Albedo,Fischl,Sayu,Tartaglia
Albedo,Fischl,Tartaglia,Zhongli
Albedo,Fischl,Xiao,Zhongli
Albedo,Ganyu,Kaeya,Zhongli
Albedo,Ganyu,Noelle,Shenhe
Albedo,Ganyu,Rosaria,Zhongli
Albedo,Ganyu,Shenhe,Zhongli
Albedo,Gorou,Itto,Kokomi
Albedo,Gorou,Itto,Qiqi
Albedo,Gorou,Itto,Shinobu
Albedo,Gorou,Itto,Zhongli
Albedo,Gorou,Kaeya,Noelle
Albedo,Gorou,Ningguang,Noelle
Albedo,Gorou,Ningguang,Zhongli
Albedo,Gorou,Noelle,Raiden
Albedo,Gorou,Noelle,Rosaria
Albedo,Gorou,Noelle,TravelerGeo
Albedo,Gorou,Noelle,Xingqiu
Albedo,Gorou,Noelle,Yelan
Albedo,Gorou,Noelle,Yun Jin
Albedo,Gorou,Noelle,Zhongli
Albedo,Heizou,Hu Tao,Zhongli
Albedo,Heizou,Xingqiu,Zhongli
Albedo,Hu Tao,Jean,Xiangling
Albedo,Hu Tao,Jean,Xingqiu
Albedo,Hu Tao,Jean,Yelan
Albedo,Hu Tao,Jean,Zhongli
Albedo,Hu Tao,Kokomi,Xingqiu
Albedo,Hu Tao,Kokomi,Yelan
Albedo,Hu Tao,Mona,Zhongli
Albedo,Hu Tao,Ningguang,Zhongli
Albedo,Hu Tao,Qiqi,Xingqiu
Albedo,Hu Tao,Qiqi,Yelan
Albedo,Hu Tao,Sayu,Xingqiu
Albedo,Hu Tao,Sayu,Yelan
Albedo,Hu Tao,Shinobu,Xingqiu
Albedo,Hu Tao,Shinobu,Yelan
Albedo,Hu Tao,Sucrose,Zhongli
Albedo,Hu Tao,Thoma,Xingqiu
Albedo,Hu Tao,Venti,Zhongli
Albedo,Hu Tao,Xiangling,Xingqiu
Albedo,Hu Tao,Xiangling,Zhongli
Albedo,Hu Tao,Xingqiu,Yelan
Albedo,Hu Tao,Xingqiu,Zhongli
Albedo,Hu Tao,Yelan,Zhongli
Albedo,Itto,Raiden,Zhongli
Albedo,Jean,Lisa,Raiden
Albedo,Jean,Mona,Raiden
Albedo,Jean,Nahida,Raiden
Albedo,Jean,Nahida,Tartaglia
Albedo,Jean,Ningguang,Zhongli
Albedo,Jean,Raiden,Sara
Albedo,Jean,Raiden,TravelerDendro
Albedo,Jean,Raiden,Xiangling
Albedo,Jean,Raiden,Xingqiu
Albedo,Jean,Raiden,Yae
Albedo,Jean,Raiden,Yelan
Albedo,Jean,Raiden,Zhongli
Albedo,Jean,Tartaglia,TravelerDendro
Albedo,Jean,Tartaglia,Xingqiu
Albedo,Jean,Tartaglia,Yelan
Albedo,Jean,Xiao,Zhongli
Albedo,Kaeya,Kazuha,Zhongli
Albedo,Kaeya,Ningguang,Noelle
Albedo,Kaeya,Noelle,Raiden
Albedo,Kaeya,Noelle,Rosaria
Albedo,Kaeya,Noelle,TravelerGeo
Albedo,Kaeya,Noelle,Xingqiu
Albedo,Kaeya,Noelle,Yelan
Albedo,Kaeya,Noelle,Yun Jin
Albedo,Kaeya,Noelle,Zhongli
Albedo,Kaeya,Shenhe,Zhongli
Albedo,Kazuha,Noelle,Xiangling
Albedo,Kokomi,Lisa,Raiden
Albedo,Kokomi,Nahida,Raiden
Albedo,Kokomi,Nahida,Tartaglia
Albedo,Kokomi,Raiden,Sara
Albedo,Kokomi,Raiden,TravelerDendro
Albedo,Kokomi,Raiden,Xiangling
Albedo,Kokomi,Raiden,Xingqiu
Albedo,Kokomi,Raiden,Yae
Albedo,Kokomi,Raiden,Yelan
Albedo,Kokomi,Tartaglia,TravelerDendro
Albedo,Lisa,Raiden,Sayu
Albedo,Lisa,Raiden,Shinobu
Albedo,Lisa,Raiden,Zhongli
Albedo,Mona,Raiden,Zhongli
Albedo,Mona,Xiao,Zhongli
Albedo,Nahida,Qiqi,Raiden
Albedo,Nahida,Raiden,Sayu
Albedo,Nahida,Raiden,Shinobu
Albedo,Nahida,Raiden,Zhongli
Albedo,Nahida,Sayu,Tartaglia
Albedo,Nahida,Shinobu,Tartaglia
Albedo,Nahida,Tartaglia,Zhongli
Albedo,Nilou,Xingqiu,Zhongli
Albedo,Nilou,Yelan,Zhongli
Albedo,Ningguang,Noelle,Raiden
Albedo,Ningguang,Noelle,Rosaria
Albedo,Ningguang,Noelle,TravelerGeo
Albedo,Ningguang,Noelle,Xingqiu
Albedo,Ningguang,Noelle,Yelan
Albedo,Ningguang,Noelle,Yun Jin
Albedo,Ningguang,Noelle,Zhongli
Albedo,Ningguang,Sara,Zhongli
Albedo,Ningguang,TravelerGeo,Zhongli
Albedo,Ningguang,Venti,Zhongli
Albedo,Ningguang,Xiangling,Zhongli
Albedo,Ningguang,Yae,Zhongli
Albedo,Ningguang,Yun Jin,Zhongli
Albedo,Noelle,Raiden,Rosaria
Albedo,Noelle,Raiden,TravelerGeo
Albedo,Noelle,Raiden,Xingqiu
Albedo,Noelle,Raiden,Yun Jin
Albedo,Noelle,Raiden,Zhongli
Albedo,Noelle,Rosaria,TravelerGeo
Albedo,Noelle,Rosaria,Xingqiu
Albedo,Noelle,Rosaria,Yun Jin
Albedo,Noelle,Rosaria,Zhongli
Albedo,Noelle,TravelerGeo,Xingqiu
Albedo,Noelle,TravelerGeo,Yelan
Albedo,Noelle,TravelerGeo,Yun Jin
Albedo,Noelle,TravelerGeo,Zhongli
Albedo,Noelle,Xingqiu,Yun Jin
Albedo,Noelle,Xingqiu,Zhongli
Albedo,Noelle,Yelan,Yun Jin
Albedo,Noelle,Yelan,Zhongli
Albedo,Noelle,Yun Jin,Zhongli
Albedo,Qiqi,Raiden,TravelerDendro
Albedo,Qiqi,Raiden,Xiangling
Albedo,Qiqi,Raiden,Xingqiu
Albedo,Qiqi,Raiden,Yae
Albedo,Qiqi,Raiden,Yelan
Albedo,Raiden,Sara,Sayu
Albedo,Raiden,Sara,Shinobu
Albedo,Raiden,Sara,Zhongli
Albedo,Raiden,Sayu,TravelerDendro
Albedo,Raiden,Sayu,Xiangling
Albedo,Raiden,Sayu,Xingqiu
Albedo,Raiden,Sayu,Yae
Albedo,Raiden,Sayu,Yelan
Albedo,Raiden,Shinobu,TravelerDendro
Albedo,Raiden,Shinobu,Xiangling
Albedo,Raiden,Shinobu,Xingqiu
Albedo,Raiden,Shinobu,Yae
Albedo,Raiden,Shinobu,Yelan
Albedo,Raiden,TravelerDendro,Zhongli
Albedo,Raiden,Xiangling,Zhongli
Albedo,Raiden,Xiao,Zhongli
Albedo,Raiden,Xingqiu,Zhongli
Albedo,Raiden,Yae,Zhongli
Albedo,Raiden,Yelan,Zhongli
Albedo,Rosaria,Shenhe,Zhongli
Albedo,Sayu,Tartaglia,TravelerDendro
Albedo,Sayu,Tartaglia,Xingqiu
Albedo,Sayu,Tartaglia,Yelan
Albedo,Shinobu,Tartaglia,TravelerDendro
Albedo,Sucrose,Xiao,Zhongli
Albedo,Tartaglia,TravelerDendro,Zhongli
Albedo,Tartaglia,Xingqiu,Zhongli
Albedo,Tartaglia,Yelan,Zhongli
Albedo,Venti,Xiao,Zhongli
Albedo,Xingqiu,Yanfei,Zhongli
Albedo,Xingqiu,Yelan,Zhongli
Albedo,Yanfei,Yelan,Zhongli
Ayaka,Bennett,Heizou,Zhongli
Ayaka,Bennett,Jean,Zhongli
Ayaka,Bennett,Kazuha,Zhongli
Ayaka,Bennett,Sucrose,Zhongli
Ayaka,Bennett,Venti,Zhongli
Ayaka,Bennett,Xiangling,Zhongli
Ayaka,Ganyu,Kaeya,Zhongli
Ayaka,Ganyu,Rosaria,Zhongli
Ayaka,Ganyu,Shenhe,Zhongli
Ayaka,Gorou,Itto,Zhongli
Ayaka,Heizou,Shenhe,Zhongli
Ayaka,Heizou,Xiangling,Zhongli
Ayaka,Hu Tao,Kazuha,Zhongli
Ayaka,Hu Tao,Mona,Zhongli
Ayaka,Hu Tao,Venti,Zhongli
Ayaka,Hu Tao,Xingqiu,Zhongli
Ayaka,Hu Tao,Yelan,Zhongli
Ayaka,Itto,Venti,Zhongli
Ayaka,Jean,Xiangling,Zhongli
Ayaka,Kaeya,Rosaria,Zhongli
Ayaka,Kaeya,Shenhe,Zhongli
Ayaka,Kazuha,Shenhe,Zhongli
Ayaka,Kazuha,Xiangling,Zhongli
Ayaka,Kokomi,Shenhe,Zhongli
Ayaka,Mona,Shenhe,Zhongli
Ayaka,Rosaria,Shenhe,Zhongli
Ayaka,Rosaria,Sucrose,Zhongli
Ayaka,Shenhe,Sucrose,Zhongli
Ayaka,Shenhe,TravelerGeo,Zhongli
Ayaka,Shenhe,Venti,Zhongli
Ayaka,Shenhe,Yun Jin,Zhongli
Ayaka,Sucrose,Xiangling,Zhongli
Ayaka,Venti,Xiangling,Zhongli
Ayato,Beidou,Collei,Zhongli
Ayato,Beidou,Fischl,Zhongli
Ayato,Beidou,Nahida,Zhongli
Ayato,Beidou,TravelerDendro,Zhongli
Ayato,Bennett,Xiangling,Zhongli
Ayato,Candace,Collei,Zhongli
Ayato,Candace,Nahida,Zhongli
Ayato,Candace,TravelerDendro,Zhongli
Ayato,Collei,Fischl,Zhongli
Ayato,Collei,Mona,Zhongli
Ayato,Collei,Raiden,Zhongli
Ayato,Collei,Xingqiu,Zhongli
Ayato,Collei,Yae,Zhongli
Ayato,Collei,Yelan,Zhongli
Ayato,Cyno,TravelerDendro,Zhongli
Ayato,Fischl,Heizou,Zhongli
Ayato,Fischl,Kazuha,Zhongli
Ayato,Fischl,Nahida,Zhongli
Ayato,Fischl,Sucrose,Zhongli
Ayato,Fischl,TravelerDendro,Zhongli
Ayato,Fischl,Venti,Zhongli
Ayato,Fischl,Xingqiu,Zhongli
Ayato,Fischl,Yae,Zhongli
Ayato,Fischl,Yelan,Zhongli
Ayato,Fischl,Yun Jin,Zhongli
Ayato,Heizou,Xingqiu,Zhongli
Ayato,Heizou,Yelan,Zhongli
Ayato,Heizou,Yun Jin,Zhongli
Ayato,Kazuha,Raiden,Zhongli
Ayato,Kazuha,Xingqiu,Zhongli
Ayato,Kazuha,Yae,Zhongli
Ayato,Kazuha,Yelan,Zhongli
Ayato,Kazuha,Yun Jin,Zhongli
Ayato,Mona,Nahida,Zhongli
Ayato,Mona,TravelerDendro,Zhongli
Ayato,Nahida,Raiden,Zhongli
Ayato,Nahida,Shinobu,Zhongli
Ayato,Nahida,Xingqiu,Zhongli
Ayato,Nahida,Yae,Zhongli
Ayato,Nahida,Yelan,Zhongli
Ayato,Raiden,TravelerDendro,Zhongli
Ayato,Raiden,Yae,Zhongli
Ayato,Sucrose,Xingqiu,Zhongli
Ayato,Sucrose,Yelan,Zhongli
Ayato,Sucrose,Yun Jin,Zhongli
Ayato,TravelerDendro,Xingqiu,Zhongli
Ayato,TravelerDendro,Yae,Zhongli
Ayato,TravelerDendro,Yelan,Zhongli
Ayato,Venti,Xingqiu,Zhongli
Ayato,Venti,Yelan,Zhongli
Ayato,Venti,Yun Jin,Zhongli
Ayato,Xingqiu,Yae,Zhongli
Ayato,Xingqiu,Yelan,Zhongli
Ayato,Xingqiu,Yun Jin,Zhongli
Ayato,Yelan,Yun Jin,Zhongli
Barbara,Beidou,Yanfei,Zhongli
Barbara,Fischl,Yanfei,Zhongli
Barbara,Gorou,Itto,TravelerGeo
Barbara,Hu Tao,Xingqiu,Zhongli
Barbara,Hu Tao,Yelan,Zhongli
Barbara,Kaeya,Keqing,Zhongli
Barbara,Keqing,Rosaria,Zhongli
Barbara,Keqing,Shenhe,Zhongli
Barbara,Nahida,Raiden,Zhongli
Barbara,Xingqiu,Yanfei,Zhongli
Beidou,Bennett,Ningguang,Noelle
Beidou,Bennett,Noelle,TravelerGeo
Beidou,Bennett,Yanfei,Zhongli
Beidou,Collei,Cyno,Zhongli
Beidou,Collei,Fischl,Zhongli
Beidou,Collei,Keqing,Zhongli
Beidou,Collei,Lisa,Zhongli
Beidou,Collei,Tartaglia,Zhongli
Beidou,Collei,Yae,Zhongli
Beidou,Cyno,Fischl,Zhongli
Beidou,Cyno,Kazuha,Zhongli
Beidou,Cyno,Nahida,Zhongli
Beidou,Cyno,Sucrose,Zhongli
Beidou,Cyno,TravelerDendro,Zhongli
Beidou,Cyno,Xingqiu,Zhongli
Beidou,Cyno,Yae,Zhongli
Beidou,Diona,Keqing,Zhongli
Beidou,Dori,Yanfei,Zhongli
Beidou,Fischl,Heizou,Zhongli
Beidou,Fischl,Jean,Zhongli
Beidou,Fischl,Kazuha,Zhongli
Beidou,Fischl,Keqing,Zhongli
Beidou,Fischl,Klee,Zhongli
Beidou,Fischl,Nahida,Zhongli
Beidou,Fischl,Ningguang,Noelle
Beidou,Fischl,Noelle,TravelerGeo
Beidou,Fischl,Noelle,Zhongli
Beidou,Fischl,Sucrose,Zhongli
Beidou,Fischl,Tartaglia,Zhongli
Beidou,Fischl,TravelerDendro,Zhongli
Beidou,Fischl,Venti,Zhongli
Beidou,Fischl,Yanfei,Zhongli
Beidou,Gorou,Itto,Zhongli
Beidou,Heizou,Lisa,Zhongli
Beidou,Heizou,Sara,Zhongli
Beidou,Heizou,Yae,Zhongli
Beidou,Hu Tao,Xingqiu,Zhongli
Beidou,Hu Tao,Yelan,Zhongli
Beidou,Jean,Lisa,Zhongli
Beidou,Jean,Sara,Zhongli
Beidou,Jean,Yae,Zhongli
Beidou,Jean,Yanfei,Zhongli
Beidou,Kaeya,Keqing,Zhongli
Beidou,Kaeya,Ningguang,Noelle
Beidou,Kaeya,Noelle,TravelerGeo
Beidou,Kaeya,Noelle,Zhongli
Beidou,Kazuha,Klee,Zhongli
Beidou,Kazuha,Lisa,Zhongli
Beidou,Kazuha,Sara,Zhongli
Beidou,Kazuha,Yae,Zhongli
Beidou,Keqing,Nahida,Zhongli
Beidou,Keqing,Qiqi,Zhongli
Beidou,Keqing,Rosaria,Zhongli
Beidou,Keqing,Sara,Zhongli
Beidou,Keqing,Shenhe,Zhongli
Beidou,Keqing,Shinobu,Zhongli
Beidou,Keqing,TravelerDendro,Zhongli
Beidou,Klee,Shinobu,Zhongli
Beidou,Klee,Sucrose,Zhongli
Beidou,Klee,Venti,Zhongli
Beidou,Klee,Xiangling,Zhongli
Beidou,Klee,Xingqiu,Zhongli
Beidou,Klee,Yae,Zhongli
Beidou,Kokomi,Yanfei,Zhongli
Beidou,Lisa,Nahida,Zhongli
Beidou,Lisa,Sucrose,Zhongli
Beidou,Lisa,TravelerDendro,Zhongli
Beidou,Lisa,Venti,Zhongli
Beidou,Nahida,Tartaglia,Zhongli
Beidou,Nahida,Yae,Zhongli
Beidou,Ningguang,Noelle,Rosaria
Beidou,Ningguang,Noelle,TravelerGeo
Beidou,Ningguang,Noelle,Xingqiu
Beidou,Ningguang,Noelle,Yelan
Beidou,Ningguang,Noelle,Zhongli
Beidou,Noelle,Rosaria,TravelerGeo
Beidou,Noelle,Rosaria,Zhongli
Beidou,Noelle,TravelerGeo,Xingqiu
Beidou,Noelle,TravelerGeo,Yelan
Beidou,Noelle,TravelerGeo,Yun Jin
Beidou,Noelle,TravelerGeo,Zhongli
Beidou,Noelle,Xingqiu,Zhongli
Beidou,Noelle,Yelan,Zhongli
Beidou,Noelle,Yun Jin,Zhongli
Beidou,Raiden,Tartaglia,Zhongli
Beidou,Rosaria,Xingqiu,Zhongli
Beidou,Rosaria,Yelan,Zhongli
Beidou,Sara,Sucrose,Zhongli
Beidou,Sara,Venti,Zhongli
Beidou,Sayu,Yanfei,Zhongli
Beidou,Shenhe,Xingqiu,Zhongli
Beidou,Shenhe,Yelan,Zhongli
Beidou,Shinobu,Yanfei,Zhongli
Beidou,Sucrose,Yae,Zhongli
Beidou,Tartaglia,TravelerDendro,Zhongli
Beidou,TravelerDendro,Yae,Zhongli
Beidou,Venti,Yae,Zhongli
Beidou,Xingqiu,Yanfei,Zhongli
Bennett,Collei,Ganyu,Zhongli
Bennett,Collei,Raiden,Zhongli
Bennett,Faruzan,Wanderer,Zhongli
Bennett,Faruzan,Xiao,Zhongli
Bennett,Fischl,Gorou,Ningguang
Bennett,Fischl,Ningguang,Noelle
Bennett,Fischl,Ningguang,Sara
Bennett,Fischl,Ningguang,TravelerGeo
Bennett,Fischl,Ningguang,Venti
Bennett,Fischl,Ningguang,Xiangling
Bennett,Fischl,Ningguang,Yae
Bennett,Fischl,Ningguang,Yun Jin
Bennett,Fischl,Ningguang,Zhongli
Bennett,Fischl,Noelle,TravelerGeo
Bennett,Fischl,Noelle,Zhongli
Bennett,Fischl,Raiden,TravelerGeo
Bennett,Fischl,Raiden,Zhongli
Bennett,Fischl,Yanfei,Zhongli
Bennett,Ganyu,Jean,Zhongli
Bennett,Ganyu,Kazuha,Zhongli
Bennett,Ganyu,Nahida,Zhongli
Bennett,Ganyu,Sucrose,Zhongli
Bennett,Ganyu,TravelerDendro,Zhongli
Bennett,Ganyu,Xiangling,Zhongli
Bennett,Gorou,Itto,Zhongli
Bennett,Gorou,Ningguang,Noelle
Bennett,Gorou,Ningguang,Sara
Bennett,Gorou,Ningguang,TravelerGeo
Bennett,Gorou,Ningguang,Venti
Bennett,Gorou,Ningguang,Xiangling
Bennett,Gorou,Ningguang,Yae
Bennett,Gorou,Ningguang,Yun Jin
Bennett,Gorou,Ningguang,Zhongli
Bennett,Gorou,Noelle,TravelerGeo
Bennett,Gorou,Noelle,Zhongli
Bennett,Heizou,Hu Tao,Zhongli
Bennett,Heizou,Raiden,Zhongli
Bennett,Heizou,Xingqiu,Zhongli
Bennett,Heizou,Yelan,Zhongli
Bennett,Hu Tao,Jean,Zhongli
Bennett,Hu Tao,Sucrose,Zhongli
Bennett,Hu Tao,Venti,Zhongli
Bennett,Hu Tao,Xiangling,Zhongli
Bennett,Hu Tao,Xingqiu,Zhongli
Bennett,Hu Tao,Yelan,Zhongli
Bennett,Itto,TravelerGeo,Zhongli
Bennett,Jean,Klee,Zhongli
Bennett,Jean,Xiao,Zhongli
Bennett,Kaeya,Ningguang,Noelle
Bennett,Kaeya,Noelle,TravelerGeo
Bennett,Kaeya,Noelle,Zhongli
Bennett,Kazuha,Klee,Zhongli
Bennett,Kazuha,Raiden,Zhongli
Bennett,Kazuha,Xiao,Zhongli
Bennett,Kazuha,Xingqiu,Zhongli
Bennett,Kazuha,Yelan,Zhongli
Bennett,Klee,Mona,Zhongli
Bennett,Klee,Rosaria,Zhongli
